State,Date of accession,GATT membership
United Arab Emirates,10 April 1996,8 March 1994
United Kingdom,1 January 1995,1 January 1948
United States,1 January 1995,1 January 1948
Uruguay,1 January 1995,6 December 1953
Vanuatu,24 August 2012,
Venezuela,1 January 1995,31 August 1990
Vietnam,11 January 2007,
Yemen,26 June 2014,
Zambia,1 January 1995,10 February 1982
Zimbabwe,5 March 1995,11 July 1948
